case_id,query_id,setting,query,gold_page_id,page_id,is_gold_page,image_path,vlm_answer,evidence_description,confidence,notes
q001__Gold_Evidence,q001,Gold Evidence,"Which page contains the fabrication requirements table with material, panel, and special requirement specifications?",doc001_p001,doc001_p001,1,artifacts\occlusion_pages\q001_doc001_p001_original.png,Page 6,The page number is located in the bottom left corner of the page.,high,
q001__BM25,q001,BM25,"Which page contains the fabrication requirements table with material, panel, and special requirement specifications?",doc001_p001,doc006_p019,0,data\images\doc006\doc006_p019.png,Not enough evidence.,"The provided page does not contain any tables or tables with material, panel, and special requirement specifications.",high,
q001__Full_MV,q001,Full MV,"Which page contains the fabrication requirements table with material, panel, and special requirement specifications?",doc001_p001,doc006_p013,0,data\images\doc006\doc006_p013.png,Not enough evidence.,"The provided page image does not contain any tables or tables with material, panel, and special requirement specifications.",high,
q001__Hybrid_Fusion,q001,Hybrid Fusion,"Which page contains the fabrication requirements table with material, panel, and special requirement specifications?",doc001_p001,doc006_p019,0,data\images\doc006\doc006_p019.png,Not enough evidence.,"The provided page does not contain any tables or tables with material, panel, and special requirement specifications.",high,
q001__Budgeted_MV,q001,Budgeted MV,"Which page contains the fabrication requirements table with material, panel, and special requirement specifications?",doc001_p001,doc004_p019,0,data\images\doc004\doc004_p019.png,AN11590,The page number is located in the top right corner of the page.,high,
q001__Gold_Masked,q001,Gold Masked,"Which page contains the fabrication requirements table with material, panel, and special requirement specifications?",doc001_p001,doc001_p001,1,artifacts\occlusion_pages\q001_doc001_p001_gold_mask.png,Page 6,The page number is located in the bottom left corner of the page.,high,
q001__Random_Masked,q001,Random Masked,"Which page contains the fabrication requirements table with material, panel, and special requirement specifications?",doc001_p001,doc001_p001,1,artifacts\occlusion_pages\q001_doc001_p001_random_mask.png,Page 6,The page number is located in the bottom left corner of the page.,high,
q002__Gold_Evidence,q002,Gold Evidence,Which page explains the breakaway and bevel requirements with dimensioned diagrams?,doc001_p002,doc001_p002,1,artifacts\occlusion_pages\q002_doc001_p002_original.png,Page 6,"The page title ""15-0000-00134-P1 : PCB SLU - SF05B PCB Breakaway Requirements"" and the presence of dimensioned diagrams for both breakaway and bevel requirements.",high,
q002__BM25,q002,BM25,Which page explains the breakaway and bevel requirements with dimensioned diagrams?,doc001_p002,doc001_p001,0,data\images\doc001\doc001_p001.png,Page 4,"The page contains a table with ""Breakaway Tab Required"" and ""Bevel"" sections, indicating that it provides information on breakaway and bevel requirements.",high,
q002__Full_MV,q002,Full MV,Which page explains the breakaway and bevel requirements with dimensioned diagrams?,doc001_p002,doc001_p002,1,data\images\doc001\doc001_p002.png,Page 6,"The page title ""15-0000-00134-P1 : PCB SLU - SF05B PCB Breakaway Requirements"" and the presence of dimensioned diagrams for both breakaway and bevel requirements.",high,
q002__Hybrid_Fusion,q002,Hybrid Fusion,Which page explains the breakaway and bevel requirements with dimensioned diagrams?,doc001_p002,doc001_p001,0,data\images\doc001\doc001_p001.png,Page 4,"The page contains a table with ""Breakaway Tab Required"" and ""Bevel"" sections, indicating that it explains these requirements.",high,
q002__Budgeted_MV,q002,Budgeted MV,Which page explains the breakaway and bevel requirements with dimensioned diagrams?,doc001_p002,doc006_p013,0,data\images\doc006\doc006_p013.png,Not enough evidence.,"The provided page does not contain any information about breakaway and bevelling requirements, nor does it include any dimensioned diagrams.",high,
q002__Gold_Masked,q002,Gold Masked,Which page explains the breakaway and bevel requirements with dimensioned diagrams?,doc001_p002,doc001_p002,1,artifacts\occlusion_pages\q002_doc001_p002_gold_mask.png,Page 6,"The page title ""15-0000-00134-P1 : PCB SLU - SF05B PCB Breakaway Requirements"" and the presence of dimensioned diagrams.",high,
q002__Random_Masked,q002,Random Masked,Which page explains the breakaway and bevel requirements with dimensioned diagrams?,doc001_p002,doc001_p002,1,artifacts\occlusion_pages\q002_doc001_p002_random_mask.png,Page 6,"The page title ""15-0000-00134-P1 : PCB SLU - SF05B PCB Breakaway Requirements"" and the presence of multiple diagrams and tables related to breakaway and bevel requirements.",high,
q004__Gold_Evidence,q004,Gold Evidence,Which page contains the drill table and stackup legend for the fabrication package?,doc001_p004,doc001_p004,1,artifacts\occlusion_pages\q004_doc001_p004_original.png,Page 4,The page number is located in the top right corner of the page.,high,
q004__BM25,q004,BM25,Which page contains the drill table and stackup legend for the fabrication package?,doc001_p004,doc001_p004,1,data\images\doc001\doc001_p004.png,Page 4,The page number is located in the top right corner of the page.,high,
q004__Full_MV,q004,Full MV,Which page contains the drill table and stackup legend for the fabrication package?,doc001_p004,doc005_p006,0,data\images\doc005\doc005_p006.png,Page 6,The page number is located at the bottom of the page.,high,
q004__Hybrid_Fusion,q004,Hybrid Fusion,Which page contains the drill table and stackup legend for the fabrication package?,doc001_p004,doc001_p004,1,data\images\doc001\doc001_p004.png,Page 4,The page number is located in the top right corner of the page.,high,
q004__Budgeted_MV,q004,Budgeted MV,Which page contains the drill table and stackup legend for the fabrication package?,doc001_p004,doc006_p008,0,data\images\doc006\doc006_p008.png,Page 6,The page number is located at the bottom of the page.,high,
q004__Gold_Masked,q004,Gold Masked,Which page contains the drill table and stackup legend for the fabrication package?,doc001_p004,doc001_p004,1,artifacts\occlusion_pages\q004_doc001_p004_gold_mask.png,Page 4,The page number is located in the top right corner of the page.,high,
q004__Random_Masked,q004,Random Masked,Which page contains the drill table and stackup legend for the fabrication package?,doc001_p004,doc001_p004,1,artifacts\occlusion_pages\q004_doc001_p004_random_mask.png,Page 4,The page number is located in the top right corner of the page.,high,
q006__Gold_Evidence,q006,Gold Evidence,"Which page combines the assembly drawing, BOM table, and component callouts in a single view?",doc002_p001,doc002_p001,1,artifacts\occlusion_pages\q006_doc002_p001_original.png,Page A3-CAGE_CODE,"The page title ""A3-CAGE_CODE"" is located in the top-right corner of the page.",high,
q006__BM25,q006,BM25,"Which page combines the assembly drawing, BOM table, and component callouts in a single view?",doc002_p001,doc002_p001,1,data\images\doc002\doc002_p001.png,Page A3-CAGE_CODE,"The page title ""A3-CAGE_CODE"" is located in the top-right corner of the page.",high,
q006__Full_MV,q006,Full MV,"Which page combines the assembly drawing, BOM table, and component callouts in a single view?",doc002_p001,doc004_p010,0,data\images\doc004\doc004_p010.png,AN11590,"The page title at the top of the page is ""AN11590 PTN3356 PCB Layout Guideline, Reference Schematics and BOM"".",high,
q006__Hybrid_Fusion,q006,Hybrid Fusion,"Which page combines the assembly drawing, BOM table, and component callouts in a single view?",doc002_p001,doc002_p001,1,data\images\doc002\doc002_p001.png,Page A3-CAGE_CODE,"The page title ""A3-CAGE_CODE"" is located in the top-right corner of the page.",high,
q006__Budgeted_MV,q006,Budgeted MV,"Which page combines the assembly drawing, BOM table, and component callouts in a single view?",doc002_p001,doc006_p013,0,data\images\doc006\doc006_p013.png,Page 2,"The page title ""2 Setup and Required Equipment"" and the content below it.",high,
q006__Gold_Masked,q006,Gold Masked,"Which page combines the assembly drawing, BOM table, and component callouts in a single view?",doc002_p001,doc002_p001,1,artifacts\occlusion_pages\q006_doc002_p001_gold_mask.png,Page A3-CAGE_CODE,"The page title ""A3-CAGE_CODE"" is located at the top right corner of the page.",high,
q006__Random_Masked,q006,Random Masked,"Which page combines the assembly drawing, BOM table, and component callouts in a single view?",doc002_p001,doc002_p001,1,artifacts\occlusion_pages\q006_doc002_p001_random_mask.png,Page A3-CAGE_CODE,"The page title ""A3-CAGE_CODE"" is located in the top-right corner of the page.",high,
q007__Gold_Evidence,q007,Gold Evidence,Which page lists the bill of materials together with top and bottom assembly views?,doc002_p001,doc002_p001,1,artifacts\occlusion_pages\q007_doc002_p001_original.png,Page C,"The page is titled ""The Main Advantages when using Draftsman to Create an Assembly Drawing"" and contains a bill of materials table, top and bottom assembly views, and other relevant information.",high,
q007__BM25,q007,BM25,Which page lists the bill of materials together with top and bottom assembly views?,doc002_p001,doc006_p019,0,data\images\doc006\doc006_p019.png,Not enough evidence.,The provided page does not contain any information about top and bottom assembly views or a bill of materials.,high,
q007__Full_MV,q007,Full MV,Which page lists the bill of materials together with top and bottom assembly views?,doc002_p001,doc006_p013,0,data\images\doc006\doc006_p013.png,Not enough evidence.,The provided page image does not contain any information about the bill of materials or top and bottom assembly views.,high,
