query_id,query,setting,gold_page_id,page_id,rank,retrieval_score,image_path,is_gold_page,gold_bbox,source,run_file
q001,"Which page contains the fabrication requirements table with material, panel, and special requirement specifications?",Gold Evidence,doc001_p001,doc001_p001,,,artifacts\occlusion_pages\q001_doc001_p001_original.png,1,"[575, 929, 1017, 1468]",gold evidence page,
q001,"Which page contains the fabrication requirements table with material, panel, and special requirement specifications?",BM25,doc001_p001,doc006_p019,1,1.0,data\images\doc006\doc006_p019.png,0,"[575, 929, 1017, 1468]",retrieval result,results\week7\hybrid_fusion\hybrid_fullmv_N50_alpha1p0_run.tsv
q001,"Which page contains the fabrication requirements table with material, panel, and special requirement specifications?",Full MV,doc001_p001,doc006_p013,1,1.0330925,data\images\doc006\doc006_p013.png,0,"[575, 929, 1017, 1468]",retrieval result,results\week7\c2f_fixed_N\bm25_fullmv_N10_run.tsv
q001,"Which page contains the fabrication requirements table with material, panel, and special requirement specifications?",Hybrid Fusion,doc001_p001,doc006_p019,1,1.0,data\images\doc006\doc006_p019.png,0,"[575, 929, 1017, 1468]",retrieval result,results\week7\hybrid_fusion\hybrid_budgetmv_N50_M24_alpha1p0_run.tsv
q001,"Which page contains the fabrication requirements table with material, panel, and special requirement specifications?",Budgeted MV,doc001_p001,doc004_p019,1,1.03028953,data\images\doc004\doc004_p019.png,0,"[575, 929, 1017, 1468]",retrieval result,results\week7\c2f_fixed_N\bm25_budgetmv_N20_M8_none_run.tsv
q001,"Which page contains the fabrication requirements table with material, panel, and special requirement specifications?",Gold Masked,doc001_p001,doc001_p001,,,artifacts\occlusion_pages\q001_doc001_p001_gold_mask.png,1,"[575, 929, 1017, 1468]",occlusion gold mask,results\week7\occlusion\occlusion_inputs.csv
q001,"Which page contains the fabrication requirements table with material, panel, and special requirement specifications?",Random Masked,doc001_p001,doc001_p001,,,artifacts\occlusion_pages\q001_doc001_p001_random_mask.png,1,"[575, 929, 1017, 1468]",occlusion random mask,results\week7\occlusion\occlusion_inputs.csv
q002,Which page explains the breakaway and bevel requirements with dimensioned diagrams?,Gold Evidence,doc001_p002,doc001_p002,,,artifacts\occlusion_pages\q002_doc001_p002_original.png,1,"[599, 953, 947, 1394]",gold evidence page,
q002,Which page explains the breakaway and bevel requirements with dimensioned diagrams?,BM25,doc001_p002,doc001_p001,1,1.0,data\images\doc001\doc001_p001.png,0,"[599, 953, 947, 1394]",retrieval result,results\week7\hybrid_fusion\hybrid_fullmv_N50_alpha1p0_run.tsv
q002,Which page explains the breakaway and bevel requirements with dimensioned diagrams?,Full MV,doc001_p002,doc001_p002,1,0.50915086,data\images\doc001\doc001_p002.png,1,"[599, 953, 947, 1394]",retrieval result,results\week7\c2f_fixed_N\bm25_fullmv_N10_run.tsv
q002,Which page explains the breakaway and bevel requirements with dimensioned diagrams?,Hybrid Fusion,doc001_p002,doc001_p001,1,1.0,data\images\doc001\doc001_p001.png,0,"[599, 953, 947, 1394]",retrieval result,results\week7\hybrid_fusion\hybrid_budgetmv_N50_M24_alpha1p0_run.tsv
q002,Which page explains the breakaway and bevel requirements with dimensioned diagrams?,Budgeted MV,doc001_p002,doc006_p013,1,-0.05786718,data\images\doc006\doc006_p013.png,0,"[599, 953, 947, 1394]",retrieval result,results\week7\c2f_fixed_N\bm25_budgetmv_N20_M8_none_run.tsv
q002,Which page explains the breakaway and bevel requirements with dimensioned diagrams?,Gold Masked,doc001_p002,doc001_p002,,,artifacts\occlusion_pages\q002_doc001_p002_gold_mask.png,1,"[599, 953, 947, 1394]",occlusion gold mask,results\week7\occlusion\occlusion_inputs.csv
q002,Which page explains the breakaway and bevel requirements with dimensioned diagrams?,Random Masked,doc001_p002,doc001_p002,,,artifacts\occlusion_pages\q002_doc001_p002_random_mask.png,1,"[599, 953, 947, 1394]",occlusion random mask,results\week7\occlusion\occlusion_inputs.csv
q004,Which page contains the drill table and stackup legend for the fabrication package?,Gold Evidence,doc001_p004,doc001_p004,,,artifacts\occlusion_pages\q004_doc001_p004_original.png,1,"[929, 663, 1468, 947]",gold evidence page,
q004,Which page contains the drill table and stackup legend for the fabrication package?,BM25,doc001_p004,doc001_p004,1,1.0,data\images\doc001\doc001_p004.png,1,"[929, 663, 1468, 947]",retrieval result,results\week7\hybrid_fusion\hybrid_fullmv_N50_alpha1p0_run.tsv
q004,Which page contains the drill table and stackup legend for the fabrication package?,Full MV,doc001_p004,doc005_p006,1,0.68070972,data\images\doc005\doc005_p006.png,0,"[929, 663, 1468, 947]",retrieval result,results\week7\c2f_fixed_N\bm25_fullmv_N10_run.tsv
q004,Which page contains the drill table and stackup legend for the fabrication package?,Hybrid Fusion,doc001_p004,doc001_p004,1,1.0,data\images\doc001\doc001_p004.png,1,"[929, 663, 1468, 947]",retrieval result,results\week7\hybrid_fusion\hybrid_budgetmv_N50_M24_alpha1p0_run.tsv
