case_id,query_id,setting,query,gold_page_id,page_id,is_gold_page,image_path,vlm_answer,evidence_description,confidence,notes
q001__Gold_Evidence,q001,Gold Evidence,"Which page contains the fabrication requirements table with material, panel, and special requirement specifications?",doc001_p001,doc001_p001,1,results\week8\visual_rag\manual_vlm_pack\images\q001__Gold_Evidence.png,,,,
q001__BM25,q001,BM25,"Which page contains the fabrication requirements table with material, panel, and special requirement specifications?",doc001_p001,doc006_p019,0,results\week8\visual_rag\manual_vlm_pack\images\q001__BM25.png,,,,
q001__Full_MV,q001,Full MV,"Which page contains the fabrication requirements table with material, panel, and special requirement specifications?",doc001_p001,doc006_p013,0,results\week8\visual_rag\manual_vlm_pack\images\q001__Full_MV.png,,,,
q001__Hybrid_Fusion,q001,Hybrid Fusion,"Which page contains the fabrication requirements table with material, panel, and special requirement specifications?",doc001_p001,doc006_p019,0,results\week8\visual_rag\manual_vlm_pack\images\q001__Hybrid_Fusion.png,,,,
q001__Budgeted_MV,q001,Budgeted MV,"Which page contains the fabrication requirements table with material, panel, and special requirement specifications?",doc001_p001,doc004_p019,0,results\week8\visual_rag\manual_vlm_pack\images\q001__Budgeted_MV.png,,,,
q001__Gold_Masked,q001,Gold Masked,"Which page contains the fabrication requirements table with material, panel, and special requirement specifications?",doc001_p001,doc001_p001,1,results\week8\visual_rag\manual_vlm_pack\images\q001__Gold_Masked.png,,,,
q001__Random_Masked,q001,Random Masked,"Which page contains the fabrication requirements table with material, panel, and special requirement specifications?",doc001_p001,doc001_p001,1,results\week8\visual_rag\manual_vlm_pack\images\q001__Random_Masked.png,,,,
q002__Gold_Evidence,q002,Gold Evidence,Which page explains the breakaway and bevel requirements with dimensioned diagrams?,doc001_p002,doc001_p002,1,results\week8\visual_rag\manual_vlm_pack\images\q002__Gold_Evidence.png,,,,
q002__BM25,q002,BM25,Which page explains the breakaway and bevel requirements with dimensioned diagrams?,doc001_p002,doc001_p001,0,results\week8\visual_rag\manual_vlm_pack\images\q002__BM25.png,,,,
q002__Full_MV,q002,Full MV,Which page explains the breakaway and bevel requirements with dimensioned diagrams?,doc001_p002,doc001_p002,1,results\week8\visual_rag\manual_vlm_pack\images\q002__Full_MV.png,,,,
