case_id,query_id,setting,query,gold_page_id,page_id,rank,retrieval_score,is_gold_page,image_path,case_prompt_file
q001__Gold_Evidence,q001,Gold Evidence,"Which page contains the fabrication requirements table with material, panel, and special requirement specifications?",doc001_p001,doc001_p001,,,1,results\week8\visual_rag\manual_vlm_pack\images\q001__Gold_Evidence.png,results\week8\visual_rag\manual_vlm_pack\cases\q001__Gold_Evidence.md
q001__BM25,q001,BM25,"Which page contains the fabrication requirements table with material, panel, and special requirement specifications?",doc001_p001,doc006_p019,1,1.0,0,results\week8\visual_rag\manual_vlm_pack\images\q001__BM25.png,results\week8\visual_rag\manual_vlm_pack\cases\q001__BM25.md
q001__Full_MV,q001,Full MV,"Which page contains the fabrication requirements table with material, panel, and special requirement specifications?",doc001_p001,doc006_p013,1,1.0330925,0,results\week8\visual_rag\manual_vlm_pack\images\q001__Full_MV.png,results\week8\visual_rag\manual_vlm_pack\cases\q001__Full_MV.md
q001__Hybrid_Fusion,q001,Hybrid Fusion,"Which page contains the fabrication requirements table with material, panel, and special requirement specifications?",doc001_p001,doc006_p019,1,1.0,0,results\week8\visual_rag\manual_vlm_pack\images\q001__Hybrid_Fusion.png,results\week8\visual_rag\manual_vlm_pack\cases\q001__Hybrid_Fusion.md
q001__Budgeted_MV,q001,Budgeted MV,"Which page contains the fabrication requirements table with material, panel, and special requirement specifications?",doc001_p001,doc004_p019,1,1.03028953,0,results\week8\visual_rag\manual_vlm_pack\images\q001__Budgeted_MV.png,results\week8\visual_rag\manual_vlm_pack\cases\q001__Budgeted_MV.md
q001__Gold_Masked,q001,Gold Masked,"Which page contains the fabrication requirements table with material, panel, and special requirement specifications?",doc001_p001,doc001_p001,,,1,results\week8\visual_rag\manual_vlm_pack\images\q001__Gold_Masked.png,results\week8\visual_rag\manual_vlm_pack\cases\q001__Gold_Masked.md
q001__Random_Masked,q001,Random Masked,"Which page contains the fabrication requirements table with material, panel, and special requirement specifications?",doc001_p001,doc001_p001,,,1,results\week8\visual_rag\manual_vlm_pack\images\q001__Random_Masked.png,results\week8\visual_rag\manual_vlm_pack\cases\q001__Random_Masked.md
q002__Gold_Evidence,q002,Gold Evidence,Which page explains the breakaway and bevel requirements with dimensioned diagrams?,doc001_p002,doc001_p002,,,1,results\week8\visual_rag\manual_vlm_pack\images\q002__Gold_Evidence.png,results\week8\visual_rag\manual_vlm_pack\cases\q002__Gold_Evidence.md
q002__BM25,q002,BM25,Which page explains the breakaway and bevel requirements with dimensioned diagrams?,doc001_p002,doc001_p001,1,1.0,0,results\week8\visual_rag\manual_vlm_pack\images\q002__BM25.png,results\week8\visual_rag\manual_vlm_pack\cases\q002__BM25.md
q002__Full_MV,q002,Full MV,Which page explains the breakaway and bevel requirements with dimensioned diagrams?,doc001_p002,doc001_p002,1,0.50915086,1,results\week8\visual_rag\manual_vlm_pack\images\q002__Full_MV.png,results\week8\visual_rag\manual_vlm_pack\cases\q002__Full_MV.md
q002__Hybrid_Fusion,q002,Hybrid Fusion,Which page explains the breakaway and bevel requirements with dimensioned diagrams?,doc001_p002,doc001_p001,1,1.0,0,results\week8\visual_rag\manual_vlm_pack\images\q002__Hybrid_Fusion.png,results\week8\visual_rag\manual_vlm_pack\cases\q002__Hybrid_Fusion.md
q002__Budgeted_MV,q002,Budgeted MV,Which page explains the breakaway and bevel requirements with dimensioned diagrams?,doc001_p002,doc006_p013,1,-0.05786718,0,results\week8\visual_rag\manual_vlm_pack\images\q002__Budgeted_MV.png,results\week8\visual_rag\manual_vlm_pack\cases\q002__Budgeted_MV.md
q002__Gold_Masked,q002,Gold Masked,Which page explains the breakaway and bevel requirements with dimensioned diagrams?,doc001_p002,doc001_p002,,,1,results\week8\visual_rag\manual_vlm_pack\images\q002__Gold_Masked.png,results\week8\visual_rag\manual_vlm_pack\cases\q002__Gold_Masked.md
q002__Random_Masked,q002,Random Masked,Which page explains the breakaway and bevel requirements with dimensioned diagrams?,doc001_p002,doc001_p002,,,1,results\week8\visual_rag\manual_vlm_pack\images\q002__Random_Masked.png,results\week8\visual_rag\manual_vlm_pack\cases\q002__Random_Masked.md
q004__Gold_Evidence,q004,Gold Evidence,Which page contains the drill table and stackup legend for the fabrication package?,doc001_p004,doc001_p004,,,1,results\week8\visual_rag\manual_vlm_pack\images\q004__Gold_Evidence.png,results\week8\visual_rag\manual_vlm_pack\cases\q004__Gold_Evidence.md
q004__BM25,q004,BM25,Which page contains the drill table and stackup legend for the fabrication package?,doc001_p004,doc001_p004,1,1.0,1,results\week8\visual_rag\manual_vlm_pack\images\q004__BM25.png,results\week8\visual_rag\manual_vlm_pack\cases\q004__BM25.md
q004__Full_MV,q004,Full MV,Which page contains the drill table and stackup legend for the fabrication package?,doc001_p004,doc005_p006,1,0.68070972,0,results\week8\visual_rag\manual_vlm_pack\images\q004__Full_MV.png,results\week8\visual_rag\manual_vlm_pack\cases\q004__Full_MV.md
q004__Hybrid_Fusion,q004,Hybrid Fusion,Which page contains the drill table and stackup legend for the fabrication package?,doc001_p004,doc001_p004,1,1.0,1,results\week8\visual_rag\manual_vlm_pack\images\q004__Hybrid_Fusion.png,results\week8\visual_rag\manual_vlm_pack\cases\q004__Hybrid_Fusion.md
